Tid: 377.9648640155792 sekunder
Eval; Loss: 0.11302033811807632; Accuracy: 0.9869999885559082;
Epoch: 1; Loss: 0.23100772500038147; Accuracy: 0.9490666389465332;
Epoch: 2; Loss: 0.06722123920917511; Accuracy: 0.9804166555404663;
Epoch: 3; Loss: 0.055256545543670654; Accuracy: 0.984083354473114;
Epoch: 4; Loss: 0.04611405357718468; Accuracy: 0.9864000082015991;
Epoch: 5; Loss: 0.0418974868953228; Accuracy: 0.9885166883468628;
Epoch: 6; Loss: 0.035608720034360886; Accuracy: 0.9898333549499512;
Epoch: 7; Loss: 0.029896920546889305; Accuracy: 0.9912999868392944;
Epoch: 8; Loss: 0.02841978706419468; Accuracy: 0.9918333292007446;
Epoch: 9; Loss: 0.027205774560570717; Accuracy: 0.9928833246231079;
Epoch: 10; Loss: 0.025321345776319504; Accuracy: 0.9933833479881287;
Epoch: 11; Loss: 0.025134634226560593; Accuracy: 0.9936333298683167;
Epoch: 12; Loss: 0.01942478120326996; Accuracy: 0.9949666857719421;
Epoch: 13; Loss: 0.02606184221804142; Accuracy: 0.9934166669845581;
Epoch: 14; Loss: 0.024224665015935898; Accuracy: 0.9949333071708679;
Epoch: 15; Loss: 0.019126081839203835; Accuracy: 0.9947999715805054;
Epoch: 16; Loss: 0.01962687261402607; Accuracy: 0.9955000281333923;
Epoch: 17; Loss: 0.018277427181601524; Accuracy: 0.9955333471298218;
Epoch: 18; Loss: 0.020663222298026085; Accuracy: 0.9955666661262512;
Epoch: 19; Loss: 0.022877657786011696; Accuracy: 0.9952166676521301;
Epoch: 20; Loss: 0.021559758111834526; Accuracy: 0.9953500032424927;
Epoch: 21; Loss: 0.016004405915737152; Accuracy: 0.9966333508491516;
Epoch: 22; Loss: 0.018933497369289398; Accuracy: 0.9961666464805603;
Epoch: 23; Loss: 0.013541842810809612; Accuracy: 0.9969499707221985;
Epoch: 24; Loss: 0.019722387194633484; Accuracy: 0.995983362197876;
Epoch: 25; Loss: 0.01815086230635643; Accuracy: 0.9963833093643188;
Epoch: 26; Loss: 0.022618262097239494; Accuracy: 0.9958999752998352;
Epoch: 27; Loss: 0.022557104006409645; Accuracy: 0.9958666563034058;
Epoch: 28; Loss: 0.014378009364008904; Accuracy: 0.9971833229064941;
Epoch: 29; Loss: 0.016689151525497437; Accuracy: 0.9969833493232727;
Epoch: 30; Loss: 0.017485659569501877; Accuracy: 0.9969666600227356;
Epoch: 31; Loss: 0.016893833875656128; Accuracy: 0.9970666766166687;
Epoch: 32; Loss: 0.01326833013445139; Accuracy: 0.9972833395004272;
Epoch: 33; Loss: 0.01641470193862915; Accuracy: 0.9972333312034607;
Epoch: 34; Loss: 0.021812718361616135; Accuracy: 0.9962999820709229;
Epoch: 35; Loss: 0.012582864612340927; Accuracy: 0.9978166818618774;
Epoch: 36; Loss: 0.01704701967537403; Accuracy: 0.9973000288009644;
Epoch: 37; Loss: 0.020914819091558456; Accuracy: 0.9976000189781189;
Epoch: 38; Loss: 0.015986640006303787; Accuracy: 0.9975500106811523;
Epoch: 39; Loss: 0.022375008091330528; Accuracy: 0.9967833161354065;
Epoch: 40; Loss: 0.014100966975092888; Accuracy: 0.9974499940872192;
