Tid: 381.9513671398163 sekunder
Eval; Loss: 0.16669632494449615; Accuracy: 0.9796000123023987;
Epoch: 1; Loss: 0.4017994999885559; Accuracy: 0.8932666778564453;
Epoch: 2; Loss: 0.18044182658195496; Accuracy: 0.9496333599090576;
Epoch: 3; Loss: 0.14203496277332306; Accuracy: 0.9613500237464905;
Epoch: 4; Loss: 0.11719955503940582; Accuracy: 0.9680833220481873;
Epoch: 5; Loss: 0.1049865260720253; Accuracy: 0.9714833498001099;
Epoch: 6; Loss: 0.09404723346233368; Accuracy: 0.9751166701316833;
Epoch: 7; Loss: 0.08270953595638275; Accuracy: 0.9783166646957397;
Epoch: 8; Loss: 0.07228174805641174; Accuracy: 0.9804666638374329;
Epoch: 9; Loss: 0.06732219457626343; Accuracy: 0.9825999736785889;
Epoch: 10; Loss: 0.06325871497392654; Accuracy: 0.9834166765213013;
Epoch: 11; Loss: 0.058607324957847595; Accuracy: 0.9847833514213562;
Epoch: 12; Loss: 0.055882278829813004; Accuracy: 0.985883355140686;
Epoch: 13; Loss: 0.05030122771859169; Accuracy: 0.9868500232696533;
Epoch: 14; Loss: 0.04894242063164711; Accuracy: 0.9875333309173584;
Epoch: 15; Loss: 0.04728258028626442; Accuracy: 0.9883833527565002;
Epoch: 16; Loss: 0.044096678495407104; Accuracy: 0.9888666868209839;
Epoch: 17; Loss: 0.04151548817753792; Accuracy: 0.9902333617210388;
Epoch: 18; Loss: 0.049232639372348785; Accuracy: 0.9886500239372253;
Epoch: 19; Loss: 0.03512491285800934; Accuracy: 0.9911500215530396;
Epoch: 20; Loss: 0.032886672765016556; Accuracy: 0.9915000200271606;
Epoch: 21; Loss: 0.039570532739162445; Accuracy: 0.9905999898910522;
Epoch: 22; Loss: 0.04266517981886864; Accuracy: 0.9907166957855225;
Epoch: 23; Loss: 0.03555140644311905; Accuracy: 0.9919000267982483;
Epoch: 24; Loss: 0.035044386982917786; Accuracy: 0.9915500283241272;
Epoch: 25; Loss: 0.03546562418341637; Accuracy: 0.9920499920845032;
Epoch: 26; Loss: 0.029604820534586906; Accuracy: 0.9930833578109741;
Epoch: 27; Loss: 0.03350764513015747; Accuracy: 0.9921666383743286;
Epoch: 28; Loss: 0.03515682741999626; Accuracy: 0.9932666420936584;
Epoch: 29; Loss: 0.036754705011844635; Accuracy: 0.9928500056266785;
Epoch: 30; Loss: 0.032050009816884995; Accuracy: 0.9925833344459534;
Epoch: 31; Loss: 0.027139170095324516; Accuracy: 0.9938166737556458;
Epoch: 32; Loss: 0.03668835759162903; Accuracy: 0.9924833178520203;
Epoch: 33; Loss: 0.028218455612659454; Accuracy: 0.9936333298683167;
Epoch: 34; Loss: 0.024569278582930565; Accuracy: 0.9946666955947876;
Epoch: 35; Loss: 0.03487182781100273; Accuracy: 0.9933333396911621;
Epoch: 36; Loss: 0.02999638207256794; Accuracy: 0.9949666857719421;
Epoch: 37; Loss: 0.033188994973897934; Accuracy: 0.9937999844551086;
Epoch: 38; Loss: 0.017886437475681305; Accuracy: 0.9959333539009094;
Epoch: 39; Loss: 0.02995716594159603; Accuracy: 0.9933333396911621;
Epoch: 40; Loss: 0.0237177275121212; Accuracy: 0.9947666525840759;
