Tid: 347.03212690353394 sekunder
Eval; Loss: 0.40033045411109924; Accuracy: 0.8813999891281128;
Epoch: 1; Loss: 0.6812012791633606; Accuracy: 0.7826166749000549;
Epoch: 2; Loss: 0.45519185066223145; Accuracy: 0.8371999859809875;
Epoch: 3; Loss: 0.41979849338531494; Accuracy: 0.8497666716575623;
Epoch: 4; Loss: 0.39096036553382874; Accuracy: 0.859333336353302;
Epoch: 5; Loss: 0.3686559498310089; Accuracy: 0.8668666481971741;
Epoch: 6; Loss: 0.3534650206565857; Accuracy: 0.8725500106811523;
Epoch: 7; Loss: 0.33916640281677246; Accuracy: 0.8784000277519226;
Epoch: 8; Loss: 0.3333684504032135; Accuracy: 0.8794999718666077;
Epoch: 9; Loss: 0.3193668723106384; Accuracy: 0.8848833441734314;
Epoch: 10; Loss: 0.3200953006744385; Accuracy: 0.8842499852180481;
Epoch: 11; Loss: 0.3055354356765747; Accuracy: 0.8896166682243347;
Epoch: 12; Loss: 0.30525270104408264; Accuracy: 0.8904833197593689;
Epoch: 13; Loss: 0.2918061912059784; Accuracy: 0.8948500156402588;
Epoch: 14; Loss: 0.2947748005390167; Accuracy: 0.8938999772071838;
Epoch: 15; Loss: 0.2863161265850067; Accuracy: 0.8964499831199646;
Epoch: 16; Loss: 0.28483641147613525; Accuracy: 0.8968499898910522;
Epoch: 17; Loss: 0.2709345817565918; Accuracy: 0.9021166563034058;
Epoch: 18; Loss: 0.2800503671169281; Accuracy: 0.8999666571617126;
Epoch: 19; Loss: 0.275053471326828; Accuracy: 0.9014000296592712;
Epoch: 20; Loss: 0.2742233872413635; Accuracy: 0.9007999897003174;
Epoch: 21; Loss: 0.2689565122127533; Accuracy: 0.9036499857902527;
Epoch: 22; Loss: 0.2685032784938812; Accuracy: 0.9036333560943604;
Epoch: 23; Loss: 0.26282164454460144; Accuracy: 0.9053000211715698;
Epoch: 24; Loss: 0.2600034177303314; Accuracy: 0.9071166515350342;
Epoch: 25; Loss: 0.25441640615463257; Accuracy: 0.9070500135421753;
Epoch: 26; Loss: 0.25188973546028137; Accuracy: 0.9077000021934509;
Epoch: 27; Loss: 0.24590685963630676; Accuracy: 0.9108999967575073;
Epoch: 28; Loss: 0.24777939915657043; Accuracy: 0.910266637802124;
Epoch: 29; Loss: 0.24305614829063416; Accuracy: 0.9116666913032532;
Epoch: 30; Loss: 0.24218736588954926; Accuracy: 0.9121999740600586;
Epoch: 31; Loss: 0.24022239446640015; Accuracy: 0.9142833352088928;
Epoch: 32; Loss: 0.24751155078411102; Accuracy: 0.9114333391189575;
Epoch: 33; Loss: 0.23018865287303925; Accuracy: 0.9161499738693237;
Epoch: 34; Loss: 0.24060246348381042; Accuracy: 0.9139500260353088;
Epoch: 35; Loss: 0.23572134971618652; Accuracy: 0.9162999987602234;
Epoch: 36; Loss: 0.2359228879213333; Accuracy: 0.914733350276947;
Epoch: 37; Loss: 0.23000435531139374; Accuracy: 0.9164166450500488;
Epoch: 38; Loss: 0.2382006049156189; Accuracy: 0.9156333208084106;
Epoch: 39; Loss: 0.22464250028133392; Accuracy: 0.918749988079071;
Epoch: 40; Loss: 0.22688156366348267; Accuracy: 0.9189000129699707;
