Tid: 373.6647889614105 sekunder
Eval; Loss: 3.6720128059387207; Accuracy: 0.14300000667572021;
Epoch: 1; Loss: 4.870431900024414; Accuracy: 0.02449999935925007;
Epoch: 2; Loss: 4.150213241577148; Accuracy: 0.0532200001180172;
Epoch: 3; Loss: 4.046256065368652; Accuracy: 0.06678000092506409;
Epoch: 4; Loss: 3.993553638458252; Accuracy: 0.0752200037240982;
Epoch: 5; Loss: 3.9479928016662598; Accuracy: 0.08278000354766846;
Epoch: 6; Loss: 3.9083571434020996; Accuracy: 0.08972000330686569;
Epoch: 7; Loss: 3.8657827377319336; Accuracy: 0.09554000198841095;
Epoch: 8; Loss: 3.827820062637329; Accuracy: 0.10391999781131744;
Epoch: 9; Loss: 3.792524576187134; Accuracy: 0.10859999805688858;
Epoch: 10; Loss: 3.770872116088867; Accuracy: 0.11343999952077866;
Epoch: 11; Loss: 3.7457921504974365; Accuracy: 0.11565999686717987;
Epoch: 12; Loss: 3.7307143211364746; Accuracy: 0.11999999731779099;
Epoch: 13; Loss: 3.712930917739868; Accuracy: 0.12246000021696091;
Epoch: 14; Loss: 3.7070462703704834; Accuracy: 0.12262000143527985;
Epoch: 15; Loss: 3.6917524337768555; Accuracy: 0.12724000215530396;
Epoch: 16; Loss: 3.683164119720459; Accuracy: 0.12720000743865967;
Epoch: 17; Loss: 3.6706910133361816; Accuracy: 0.13064000010490417;
Epoch: 18; Loss: 3.665915012359619; Accuracy: 0.13053999841213226;
Epoch: 19; Loss: 3.6516690254211426; Accuracy: 0.1327199935913086;
Epoch: 20; Loss: 3.644003391265869; Accuracy: 0.13369999825954437;
Epoch: 21; Loss: 3.6402971744537354; Accuracy: 0.13373999297618866;
Epoch: 22; Loss: 3.634601593017578; Accuracy: 0.13583999872207642;
Epoch: 23; Loss: 3.629418134689331; Accuracy: 0.1385599970817566;
Epoch: 24; Loss: 3.620562791824341; Accuracy: 0.13850000500679016;
Epoch: 25; Loss: 3.613208770751953; Accuracy: 0.13850000500679016;
Epoch: 26; Loss: 3.624481678009033; Accuracy: 0.13779999315738678;
Epoch: 27; Loss: 3.607177257537842; Accuracy: 0.14034000039100647;
Epoch: 28; Loss: 3.605593681335449; Accuracy: 0.1393599957227707;
Epoch: 29; Loss: 3.596371650695801; Accuracy: 0.1411599963903427;
Epoch: 30; Loss: 3.592897415161133; Accuracy: 0.1418199986219406;
Epoch: 31; Loss: 3.5904886722564697; Accuracy: 0.14125999808311462;
Epoch: 32; Loss: 3.5881266593933105; Accuracy: 0.1445399969816208;
Epoch: 33; Loss: 3.5853912830352783; Accuracy: 0.1437000036239624;
Epoch: 34; Loss: 3.58325457572937; Accuracy: 0.144679993391037;
Epoch: 35; Loss: 3.583588123321533; Accuracy: 0.14632000029087067;
Epoch: 36; Loss: 3.5767910480499268; Accuracy: 0.14416000247001648;
Epoch: 37; Loss: 3.5731537342071533; Accuracy: 0.14621999859809875;
Epoch: 38; Loss: 3.5652759075164795; Accuracy: 0.14711999893188477;
Epoch: 39; Loss: 3.5687949657440186; Accuracy: 0.14885999262332916;
Epoch: 40; Loss: 3.562406539916992; Accuracy: 0.14764000475406647;
