Tid: 365.002534866333 sekunder
Eval; Loss: 0.6451748609542847; Accuracy: 0.8924999833106995;
Epoch: 1; Loss: 0.49566540122032166; Accuracy: 0.8358833193778992;
Epoch: 2; Loss: 0.32564735412597656; Accuracy: 0.8795833587646484;
Epoch: 3; Loss: 0.296029657125473; Accuracy: 0.8902999758720398;
Epoch: 4; Loss: 0.26997002959251404; Accuracy: 0.8993666768074036;
Epoch: 5; Loss: 0.25359317660331726; Accuracy: 0.9062833189964294;
Epoch: 6; Loss: 0.2326095998287201; Accuracy: 0.9139333367347717;
Epoch: 7; Loss: 0.22204872965812683; Accuracy: 0.9163333177566528;
Epoch: 8; Loss: 0.20878034830093384; Accuracy: 0.9209666848182678;
Epoch: 9; Loss: 0.19728940725326538; Accuracy: 0.9262999892234802;
Epoch: 10; Loss: 0.18887557089328766; Accuracy: 0.928600013256073;
Epoch: 11; Loss: 0.1791905015707016; Accuracy: 0.9330000281333923;
Epoch: 12; Loss: 0.1725156158208847; Accuracy: 0.9361666440963745;
Epoch: 13; Loss: 0.170141339302063; Accuracy: 0.9362166523933411;
Epoch: 14; Loss: 0.15640993416309357; Accuracy: 0.9405166506767273;
Epoch: 15; Loss: 0.15267275273799896; Accuracy: 0.942633330821991;
Epoch: 16; Loss: 0.14821383357048035; Accuracy: 0.9435333609580994;
Epoch: 17; Loss: 0.1458103060722351; Accuracy: 0.9459666609764099;
Epoch: 18; Loss: 0.13883961737155914; Accuracy: 0.9484833478927612;
Epoch: 19; Loss: 0.12878909707069397; Accuracy: 0.9522333145141602;
Epoch: 20; Loss: 0.1297350376844406; Accuracy: 0.9525166749954224;
Epoch: 21; Loss: 0.13065935671329498; Accuracy: 0.9526666402816772;
Epoch: 22; Loss: 0.12465041875839233; Accuracy: 0.9539999961853027;
Epoch: 23; Loss: 0.11193215847015381; Accuracy: 0.9581666588783264;
Epoch: 24; Loss: 0.12023033946752548; Accuracy: 0.9576833248138428;
Epoch: 25; Loss: 0.11282232403755188; Accuracy: 0.9595000147819519;
Epoch: 26; Loss: 0.11030788719654083; Accuracy: 0.9597833156585693;
Epoch: 27; Loss: 0.10561998933553696; Accuracy: 0.962066650390625;
Epoch: 28; Loss: 0.11300114542245865; Accuracy: 0.959933340549469;
Epoch: 29; Loss: 0.09803619980812073; Accuracy: 0.9654333591461182;
Epoch: 30; Loss: 0.10124021768569946; Accuracy: 0.9649500250816345;
Epoch: 31; Loss: 0.09379452466964722; Accuracy: 0.9661166667938232;
Epoch: 32; Loss: 0.10145989805459976; Accuracy: 0.9666666388511658;
Epoch: 33; Loss: 0.09698985517024994; Accuracy: 0.9664499759674072;
Epoch: 34; Loss: 0.08891724795103073; Accuracy: 0.9689833521842957;
Epoch: 35; Loss: 0.08886595070362091; Accuracy: 0.9697333574295044;
Epoch: 36; Loss: 0.08372790366411209; Accuracy: 0.9707000255584717;
Epoch: 37; Loss: 0.09972737729549408; Accuracy: 0.9678166508674622;
Epoch: 38; Loss: 0.09151966124773026; Accuracy: 0.9702000021934509;
Epoch: 39; Loss: 0.09961165487766266; Accuracy: 0.969083309173584;
Epoch: 40; Loss: 0.08143668621778488; Accuracy: 0.9733499884605408;
