Tid: 1356.1364169120789 sekunder
Eval; Loss: 2.5392448902130127; Accuracy: 0.6097999811172485;
Epoch: 1; Loss: 1.9333993196487427; Accuracy: 0.3691200017929077;
Epoch: 2; Loss: 1.4530408382415771; Accuracy: 0.47964000701904297;
Epoch: 3; Loss: 1.3277665376663208; Accuracy: 0.5302199721336365;
Epoch: 4; Loss: 1.2199358940124512; Accuracy: 0.5706200003623962;
Epoch: 5; Loss: 1.1209805011749268; Accuracy: 0.6057000160217285;
Epoch: 6; Loss: 1.0370196104049683; Accuracy: 0.635699987411499;
Epoch: 7; Loss: 0.9715858101844788; Accuracy: 0.6593800187110901;
Epoch: 8; Loss: 0.9080233573913574; Accuracy: 0.6850200295448303;
Epoch: 9; Loss: 0.8482162356376648; Accuracy: 0.7028800249099731;
Epoch: 10; Loss: 0.8027506470680237; Accuracy: 0.7223600149154663;
Epoch: 11; Loss: 0.7491202354431152; Accuracy: 0.7384399771690369;
Epoch: 12; Loss: 0.7025632262229919; Accuracy: 0.7557399868965149;
Epoch: 13; Loss: 0.6622992157936096; Accuracy: 0.7696400284767151;
Epoch: 14; Loss: 0.6262627840042114; Accuracy: 0.7819799780845642;
Epoch: 15; Loss: 0.5891106128692627; Accuracy: 0.7953400015830994;
Epoch: 16; Loss: 0.5677551031112671; Accuracy: 0.8047000169754028;
Epoch: 17; Loss: 0.5424131751060486; Accuracy: 0.8130599856376648;
Epoch: 18; Loss: 0.5189224481582642; Accuracy: 0.8227800130844116;
Epoch: 19; Loss: 0.4843355715274811; Accuracy: 0.8324199914932251;
Epoch: 20; Loss: 0.4703384041786194; Accuracy: 0.8398000001907349;
Epoch: 21; Loss: 0.45073264837265015; Accuracy: 0.8483800292015076;
Epoch: 22; Loss: 0.4356103241443634; Accuracy: 0.8531399965286255;
Epoch: 23; Loss: 0.4283898174762726; Accuracy: 0.8558200001716614;
Epoch: 24; Loss: 0.3986097276210785; Accuracy: 0.8656600117683411;
Epoch: 25; Loss: 0.41152340173721313; Accuracy: 0.8622999787330627;
Epoch: 26; Loss: 0.3971249461174011; Accuracy: 0.8682799935340881;
Epoch: 27; Loss: 0.3740663528442383; Accuracy: 0.8766400218009949;
Epoch: 28; Loss: 0.36390191316604614; Accuracy: 0.8791199922561646;
Epoch: 29; Loss: 0.3637254238128662; Accuracy: 0.8805999755859375;
Epoch: 30; Loss: 0.3561253547668457; Accuracy: 0.8844000101089478;
Epoch: 31; Loss: 0.34917914867401123; Accuracy: 0.8861799836158752;
Epoch: 32; Loss: 0.3348965346813202; Accuracy: 0.8914200067520142;
Epoch: 33; Loss: 0.3270130753517151; Accuracy: 0.8942800164222717;
Epoch: 34; Loss: 0.32562342286109924; Accuracy: 0.8956599831581116;
Epoch: 35; Loss: 0.31748735904693604; Accuracy: 0.9000200033187866;
Epoch: 36; Loss: 0.31075936555862427; Accuracy: 0.9008600115776062;
Epoch: 37; Loss: 0.3054729104042053; Accuracy: 0.902899980545044;
Epoch: 38; Loss: 0.30183321237564087; Accuracy: 0.9052799940109253;
Epoch: 39; Loss: 0.28300741314888; Accuracy: 0.910539984703064;
Epoch: 40; Loss: 0.2912500500679016; Accuracy: 0.9094600081443787;
