Tid: 409.89726305007935 sekunder
Eval; Loss: 4.8268256187438965; Accuracy: 0.21230000257492065;
Epoch: 1; Loss: 4.201175212860107; Accuracy: 0.07863999903202057;
Epoch: 2; Loss: 3.585474967956543; Accuracy: 0.15877999365329742;
Epoch: 3; Loss: 3.3733556270599365; Accuracy: 0.19499999284744263;
Epoch: 4; Loss: 3.2077012062072754; Accuracy: 0.22460000216960907;
Epoch: 5; Loss: 3.067789077758789; Accuracy: 0.24789999425411224;
Epoch: 6; Loss: 2.967717170715332; Accuracy: 0.2683599889278412;
Epoch: 7; Loss: 2.8709657192230225; Accuracy: 0.2865400016307831;
Epoch: 8; Loss: 2.7765884399414062; Accuracy: 0.3055199980735779;
Epoch: 9; Loss: 2.7244606018066406; Accuracy: 0.3147999942302704;
Epoch: 10; Loss: 2.6494438648223877; Accuracy: 0.32951998710632324;
Epoch: 11; Loss: 2.5900509357452393; Accuracy: 0.3428399860858917;
Epoch: 12; Loss: 2.564894676208496; Accuracy: 0.3451800048351288;
Epoch: 13; Loss: 2.489902973175049; Accuracy: 0.3625200092792511;
Epoch: 14; Loss: 2.4324984550476074; Accuracy: 0.3712199926376343;
Epoch: 15; Loss: 2.4044876098632812; Accuracy: 0.3788999915122986;
Epoch: 16; Loss: 2.336184024810791; Accuracy: 0.3929600119590759;
Epoch: 17; Loss: 2.308504104614258; Accuracy: 0.3988400101661682;
Epoch: 18; Loss: 2.279970169067383; Accuracy: 0.40450000762939453;
Epoch: 19; Loss: 2.2592217922210693; Accuracy: 0.41152000427246094;
Epoch: 20; Loss: 2.232285261154175; Accuracy: 0.41530001163482666;
Epoch: 21; Loss: 2.1956703662872314; Accuracy: 0.42201998829841614;
Epoch: 22; Loss: 2.176661491394043; Accuracy: 0.4261600077152252;
Epoch: 23; Loss: 2.152404308319092; Accuracy: 0.43187999725341797;
Epoch: 24; Loss: 2.1378791332244873; Accuracy: 0.4358600080013275;
Epoch: 25; Loss: 2.1218819618225098; Accuracy: 0.43772000074386597;
Epoch: 26; Loss: 2.0757925510406494; Accuracy: 0.4485200047492981;
Epoch: 27; Loss: 2.103794813156128; Accuracy: 0.44543999433517456;
Epoch: 28; Loss: 2.061737060546875; Accuracy: 0.4545600116252899;
Epoch: 29; Loss: 2.039242744445801; Accuracy: 0.4586000144481659;
Epoch: 30; Loss: 2.021263599395752; Accuracy: 0.4623599946498871;
Epoch: 31; Loss: 2.0028023719787598; Accuracy: 0.4650999903678894;
Epoch: 32; Loss: 2.0047101974487305; Accuracy: 0.46597999334335327;
Epoch: 33; Loss: 1.9951646327972412; Accuracy: 0.4678199887275696;
Epoch: 34; Loss: 1.9366484880447388; Accuracy: 0.4815399944782257;
Epoch: 35; Loss: 1.9831621646881104; Accuracy: 0.4722999930381775;
Epoch: 36; Loss: 1.9590718746185303; Accuracy: 0.4781000018119812;
Epoch: 37; Loss: 1.9507945775985718; Accuracy: 0.48030000925064087;
Epoch: 38; Loss: 1.9379758834838867; Accuracy: 0.48420000076293945;
Epoch: 39; Loss: 1.940619707107544; Accuracy: 0.48462000489234924;
Epoch: 40; Loss: 1.9005763530731201; Accuracy: 0.49173998832702637;
